emotion,text_input,latitude,longitude,local_time
Satisfaction,"""Content with the peaceful morning coffee ritual.""",6.007546139971960,4.039736542860310,2023-12-26 09:59:16
Interest,"""Intrigued by the mystery novel's unexpected plot twist.""",-36.92364159622870,-99.75645362171260,2023-12-20 14:30:01
Fear,"""Anxious about the upcoming public speaking event.""",45.938101385042200,-70.76655091693190,2023-12-28 15:24:20
Sadness,"""Heartache from watching the old, wilting tree.""",-2.3967774018283000,31.54843344528550,2023-12-24 13:27:20
Relief,"""Relaxed after the final exams were over.""",31.351817480424900,-128.11995192632000,2023-12-26 18:37:57
Contempt,"""Disdain for the unfair decision at work.""",60.91053087360910,128.32857959128500,2023-12-19 19:46:10
Satisfaction," ""Pleased with the successful surprise party organized.""",-80.4809645170584,-122.29329956444400,2023-12-22 08:51:18
Anger," ""Upset over the broken vase - a family heirloom.""",-15.74180899030260,68.18825714413700,2023-12-25 17:01:05
Sadness,"""Feeling down due to the rainy weather all week.""",26.568439156735500,103.23643718937700,2023-12-24 15:17:38
Joy,"""Elated from the unexpected promotion at work.""",-3.899684615380850,52.14006944299650,2023-12-25 20:32:22
Contempt," ""Scoffing at the arrogant attitude of the new celebrity.""",3.6996354061268300,-135.1520898769170,2023-12-26 14:18:36
Hope,"""Optimistic about the new sustainable living project.""",7.516670938721310,159.36688080832800,2023-12-21 10:13:37
Surprise," ""Amazed by the northern lights on a winter night.""",88.9362745705885,72.10493415361020,2023-12-21 00:14:13
Disgust," ""Repulsed by the spoiled food in the fridge.""",84.25320774645200,38.87498035907720,2023-12-20 02:51:47
Envy,"""Jealous of friends' vacation stories and photos.""",-76.27806170636090,83.84670729605110,2023-12-27 05:00:01
Disgust,"""Revolted by the lack of cleanliness downtown.""",-26.58195770630400,-72.46447386481140,2023-12-22 07:47:04
Elation," ""Thrilled by the idea of starting a new hobby.""",45.473287721468300,-165.6414965680930,2023-12-19 23:51:27
Pride,"""Proud of completing the marathon despite challenges.""",-50.522374113874500,85.78875024117720,2023-12-19 20:15:30
Disgust,"""Grossed out by the mess after the festival.""",83.91761684026130,-18.74752840435130,2023-12-23 13:54:39
Joy,"""Cheerful during the family game night.""",56.38757556414920,58.00013231989970,2023-12-27 20:17:47
Interest,"""Curious about learning the new language.""",-55.44169546915910,-23.89002948002050,2023-12-27 19:59:36
Anger," ""Irritated by the constant construction noise.""",-45.806764000651800,69.08206964666480,2023-12-26 17:08:19
Guilt,"""Regretful after forgetting a close friend's birthday.""",-88.461159266088,-172.27174957978300,2023-12-21 18:00:35
Relief," ""Calmed by the resolution of a misunderstanding.""",14.659829322861600,-118.66815616567900,2023-12-22 14:43:57
Shame,"""Embarrassed by the slip-up during the presentation.""",79.34281609587730,-97.6905065349813,2023-12-23 14:18:29
Anger," ""Annoyed by the neighbor's loud music late at night.""",79.97249697747420,-7.615029285028700,2023-12-22 15:39:44
Sadness," ""Lonely in the city without any familiar faces.""",55.44846623542960,-58.736941652179800,2023-12-23 09:11:55
Hope,"""Aspiring to make a difference with the charity work.""",68.74963367532400,31.6840597825622,2023-12-23 11:17:14
Fear,"""Nervous about the results of the medical test.""",-58.08943868680430,-16.45216511972900,2023-12-25 10:07:24
Surprise," ""Startled by the surprise visit from an old friend.""",73.59194706086310,-22.83223352609470,2023-12-27 20:57:54
Surprise,"""Stunned by winning the art competition unexpectedly.""",51.561933267342100,-0.07374963752648990,2023-12-19 21:09:42